"Index","Time","Delta","Appliance","State"
"66","2014-08-24 00:06:36+00:00","-98","fridge","OFF"
"437","2014-08-24 00:43:42+00:00","-105","dishwasher","OFF"
"4319","2014-08-24 07:11:54+00:00","107","dishwasher","ON"
"4333","2014-08-24 07:13:18+00:00","-94","fridge","OFF"
"4967","2014-08-24 08:16:42+00:00","1230","microwave","ON"
"4969","2014-08-24 08:16:54+00:00","-939","microwave","OFF"
"4972","2014-08-24 08:17:12+00:00","-1262","microwave","OFF"
"4982","2014-08-24 08:18:12+00:00","1233","microwave","ON"
"4985","2014-08-24 08:18:30+00:00","-243","washing_machine","OFF"
"4986","2014-08-24 08:18:36+00:00","-983","microwave","OFF"
"5009","2014-08-24 08:20:54+00:00","114","dishwasher","ON"
"5011","2014-08-24 08:21:06+00:00","-113","dishwasher","OFF"
"5012","2014-08-24 08:21:12+00:00","-194","washing_machine","OFF"
"5026","2014-08-24 08:22:36+00:00","126","dishwasher","ON"
"5027","2014-08-24 08:22:42+00:00","-140","dishwasher","OFF"
"5115","2014-08-24 08:31:30+00:00","201","washing_machine","ON"
"5131","2014-08-24 08:33:06+00:00","-199","washing_machine","OFF"
"5132","2014-08-24 08:33:12+00:00","123","dishwasher","ON"
"5172","2014-08-24 08:37:12+00:00","-106","dishwasher","OFF"
"6532","2014-08-24 10:53:12+00:00","201","washing_machine","ON"
"6544","2014-08-24 10:54:24+00:00","-188","washing_machine","OFF"
"6875","2014-08-24 11:27:30+00:00","197","washing_machine","ON"
"6934","2014-08-24 11:33:24+00:00","-157","dishwasher","OFF"
"7135","2014-08-24 11:53:30+00:00","100","fridge","ON"
"7136","2014-08-24 11:53:36+00:00","-109","dishwasher","OFF"
"7137","2014-08-24 11:53:42+00:00","125","dishwasher","ON"
"7509","2014-08-24 12:30:54+00:00","2251","microwave","ON"
"7510","2014-08-24 12:31:00+00:00","-276","washing_machine","OFF"
"7512","2014-08-24 12:31:12+00:00","-2006","microwave","OFF"
"7516","2014-08-24 12:31:36+00:00","2264","microwave","ON"
"7517","2014-08-24 12:31:42+00:00","-176","dishwasher","OFF"
"7521","2014-08-24 12:32:06+00:00","-101","fridge","OFF"
"7524","2014-08-24 12:32:24+00:00","-1920","microwave","OFF"
"7525","2014-08-24 12:32:30+00:00","120","dishwasher","ON"
"7527","2014-08-24 12:32:42+00:00","-199","washing_machine","OFF"
"7529","2014-08-24 12:32:54+00:00","2099","microwave","ON"
"7532","2014-08-24 12:33:12+00:00","-284","washing_machine","OFF"
"7534","2014-08-24 12:33:24+00:00","340","washing_machine","ON"
"7535","2014-08-24 12:33:30+00:00","-196","washing_machine","OFF"
"7539","2014-08-24 12:33:54+00:00","-181","washing_machine","OFF"
"7541","2014-08-24 12:34:06+00:00","131","dishwasher","ON"
"7544","2014-08-24 12:34:24+00:00","100","fridge","ON"
"7545","2014-08-24 12:34:30+00:00","-164","dishwasher","OFF"
"7548","2014-08-24 12:34:48+00:00","115","dishwasher","ON"
"7552","2014-08-24 12:35:12+00:00","-201","washing_machine","OFF"
"7554","2014-08-24 12:35:24+00:00","-1765","microwave","OFF"
"7559","2014-08-24 12:35:54+00:00","-209","washing_machine","OFF"
"7561","2014-08-24 12:36:06+00:00","188","washing_machine","ON"
"7565","2014-08-24 12:36:30+00:00","-208","washing_machine","OFF"
"7568","2014-08-24 12:36:48+00:00","146","dishwasher","ON"
"7571","2014-08-24 12:37:06+00:00","-228","washing_machine","OFF"
"7573","2014-08-24 12:37:18+00:00","214","washing_machine","ON"
"7575","2014-08-24 12:37:30+00:00","-100","fridge","OFF"
"7576","2014-08-24 12:37:36+00:00","146","dishwasher","ON"
"7577","2014-08-24 12:37:42+00:00","-220","washing_machine","OFF"
"7580","2014-08-24 12:38:00+00:00","217","washing_machine","ON"
"7584","2014-08-24 12:38:24+00:00","-240","washing_machine","OFF"
"7585","2014-08-24 12:38:30+00:00","93","fridge","ON"
"7590","2014-08-24 12:39:00+00:00","-258","washing_machine","OFF"
"7593","2014-08-24 12:39:18+00:00","246","washing_machine","ON"
"7596","2014-08-24 12:39:36+00:00","-197","washing_machine","OFF"
"7597","2014-08-24 12:39:42+00:00","138","dishwasher","ON"
"7599","2014-08-24 12:39:54+00:00","-118","dishwasher","OFF"
"7600","2014-08-24 12:40:00+00:00","168","dishwasher","ON"
"7603","2014-08-24 12:40:18+00:00","241","washing_machine","ON"
"7604","2014-08-24 12:40:24+00:00","-262","washing_machine","OFF"
"7606","2014-08-24 12:40:36+00:00","-139","dishwasher","OFF"
"7607","2014-08-24 12:40:42+00:00","212","washing_machine","ON"
"7609","2014-08-24 12:40:54+00:00","-101","fridge","OFF"
"7610","2014-08-24 12:41:00+00:00","125","dishwasher","ON"
"7612","2014-08-24 12:41:12+00:00","-118","dishwasher","OFF"
"7613","2014-08-24 12:41:18+00:00","367","washing_machine","ON"
"7614","2014-08-24 12:41:24+00:00","-215","washing_machine","OFF"
"7616","2014-08-24 12:41:36+00:00","-138","dishwasher","OFF"
"7617","2014-08-24 12:41:42+00:00","218","washing_machine","ON"
"7619","2014-08-24 12:41:54+00:00","-169","dishwasher","OFF"
"7621","2014-08-24 12:42:06+00:00","93","fridge","ON"
"7623","2014-08-24 12:42:18+00:00","-188","washing_machine","OFF"
"7624","2014-08-24 12:42:24+00:00","95","fridge","ON"
"7627","2014-08-24 12:42:42+00:00","203","washing_machine","ON"
"7628","2014-08-24 12:42:48+00:00","-194","washing_machine","OFF"
"7630","2014-08-24 12:43:00+00:00","-152","dishwasher","OFF"
"7631","2014-08-24 12:43:06+00:00","242","washing_machine","ON"
"7635","2014-08-24 12:43:30+00:00","103","fridge","ON"
"7636","2014-08-24 12:43:36+00:00","-175","dishwasher","OFF"
"7637","2014-08-24 12:43:42+00:00","303","washing_machine","ON"
"7638","2014-08-24 12:43:48+00:00","-157","dishwasher","OFF"
"7640","2014-08-24 12:44:00+00:00","-150","dishwasher","OFF"
"7641","2014-08-24 12:44:06+00:00","185","washing_machine","ON"
"7643","2014-08-24 12:44:18+00:00","-175","dishwasher","OFF"
"7645","2014-08-24 12:44:30+00:00","129","dishwasher","ON"
"7647","2014-08-24 12:44:42+00:00","-128","dishwasher","OFF"
"7648","2014-08-24 12:44:48+00:00","177","dishwasher","ON"
"7650","2014-08-24 12:45:00+00:00","-195","washing_machine","OFF"
"7652","2014-08-24 12:45:12+00:00","236","washing_machine","ON"
"7654","2014-08-24 12:45:24+00:00","-210","washing_machine","OFF"
"7664","2014-08-24 12:46:24+00:00","165","dishwasher","ON"
"7665","2014-08-24 12:46:30+00:00","-158","dishwasher","OFF"
"7668","2014-08-24 12:46:48+00:00","151","dishwasher","ON"
"7669","2014-08-24 12:46:54+00:00","-93","fridge","OFF"
"7673","2014-08-24 12:47:18+00:00","371","washing_machine","ON"
"7674","2014-08-24 12:47:24+00:00","-366","washing_machine","OFF"
"7699","2014-08-24 12:49:54+00:00","133","dishwasher","ON"
"7729","2014-08-24 12:52:54+00:00","376","washing_machine","ON"
"7730","2014-08-24 12:53:00+00:00","-383","washing_machine","OFF"
"7738","2014-08-24 12:53:48+00:00","181","washing_machine","ON"
"7742","2014-08-24 12:54:12+00:00","260","washing_machine","ON"
"7743","2014-08-24 12:54:18+00:00","-110","dishwasher","OFF"
"7745","2014-08-24 12:54:30+00:00","-227","washing_machine","OFF"
"7746","2014-08-24 12:54:36+00:00","177","dishwasher","ON"
